N_SQ_QU;C_QU;C_QUINSEE;L_QU;C_AR;N_SQ_AR;PERIMETRE;SURFACE;Geometry X Y
750000020;20;7510504;Sorbonne;5;750000005;2892.944068;433197.7924;48.8490447659,2.34574660019
750000033;33;7510901;Saint-Georges;9;750000009;3429.188334;717091.5696;48.8799343388,2.33285019656
750000034;34;7510902;Chaussée-d'Antin;9;750000009;3133.580092;543441.1677;48.8735473802,2.33226886887
750000003;3;7510103;Palais-Royal;1;750000001;2166.839239;273696.7933;48.8646599781,2.33630891897
750000032;32;7510804;Europe;8;750000008;4803.242769;1182466.965;48.8781476759,2.3171746113
750000044;44;7511104;Sainte-Marguerite;11;750000011;4591.310799;929609.2417;48.852096507,2.3887648336
750000054;54;7511402;Parc-de-Montsouris;14;750000014;5224.265369;1357950.39;48.8234527716,2.33707017986
750000057;57;7511501;Saint-Lambert;15;750000015;6928.792072;2829201.554;48.8342936284,2.29691997445
750000006;6;7510202;Vivienne;2;750000002;2058.472959;243550.7706;48.8691001998,2.33946074375
750000010;10;7510302;Enfants-Rouges;3;750000003;2139.625388;271750.3239;48.863887392,2.36312330099
750000024;24;7510604;Saint-Germain-des-Prés;6;750000006;2565.899893;282279.9399;48.85528872,2.33365686809
750000037;37;7511001;Saint-Vincent-de-Paul;10;750000010;4072.789633;926865.2298;48.8807352373,2.35747081045
750000042;42;7511102;Saint-Ambroise;11;750000011;4052.567737;837992.9216;48.8623450235,2.37611805592
750000045;45;7511201;Bel-Air;12;750000012;18427.82224;5970920.503;48.8379956461,2.43317844196
750000053;53;7511401;Montparnasse;14;750000014;4565.136189;1126205.407;48.837623096,2.33178382289
750000066;66;7511702;Plaine de Monceaux;17;750000017;5247.353247;1383507.699;48.8850436914,2.30290982465
750000027;27;7510703;Ecole-Militaire;7;750000007;3887.703157;807870.7666;48.8503592615,2.31103093627
750000059;59;7511503;Grenelle;15;750000015;4932.93724;1478299.052;48.8501716555,2.2918526427
750000061;61;7511601;Auteuil;16;750000016;12452.25393;6383887.784;48.8506223427,2.25227690754
750000019;19;7510503;Val-de-Grâce;5;750000005;3485.831358;703631.1629;48.841684288,2.34386092632
750000058;58;7511502;Necker;15;750000015;5979.711469;1578484.19;48.8427112503,2.31077745364
750000079;79;7512003;Père-Lachaise;20;750000020;5013.656432;1599001.973;48.863719484,2.39527282076
750000072;72;7511804;La Chapelle;18;750000018;5261.436596;1347544.55;48.8940121696,2.36438677903
750000023;23;7510603;Notre-Dame-des-Champs;6;750000006;4559.989773;861307.0378;48.846427594,2.32735687823
750000055;55;7511403;Petit-Montrouge;14;750000014;5490.636672;1345774.265;48.8266526255,2.32643699922
750000074;74;7511902;Pont-de-Flandre;19;750000019;6397.871676;2376238.13;48.8955557746,2.38477722927
750000062;62;7511602;Muette;16;750000016;11962.43859;5477898.3;48.8632745438,2.2599358317
750000064;64;7511604;Chaillot;16;750000016;5207.046446;1424035.236;48.8684336145,2.29167904274
750000068;68;7511704;Epinettes;17;750000017;5171.706451;1378544.948;48.8949426538,2.32111874371
750000026;26;7510702;Invalides;7;750000007;4434.656489;1073733.769;48.8585149661,2.31644474034
750000035;35;7510903;Faubourg-Montmartre;9;750000009;2786.541926;417335.0806;48.8739346918,2.34325257947
750000005;5;7510201;Gaillon;2;750000002;1866.982041;188012.2039;48.8693066381,2.33343180766
750000075;75;7511903;Amérique;19;750000019;6399.022082;1835720.275;48.8816381673,2.39544016662
750000009;9;7510301;Arts-et-Métiers;3;750000003;2482.460453;318087.7405;48.8664702895,2.35708313106
750000011;11;7510303;Archives;3;750000003;2534.100042;367728.3869;48.8591924127,2.36320505733
